genome,accession,all_accessions
SAMN03004342,['JRFA01000002'],"['NZ_JRFA00000000.1', 'NZ_JRFA01000032.1', 'NZ_JRFA01000031.1', 'NZ_JRFA01000030.1', 'NZ_JRFA01000029.1', 'NZ_JRFA01000028.1', 'NZ_JRFA01000027.1', 'NZ_JRFA01000026.1', 'NZ_JRFA01000025.1', 'NZ_JRFA01000024.1', 'NZ_JRFA01000023.1', 'NZ_JRFA01000021.1', 'NZ_JRFA01000020.1', 'NZ_JRFA01000019.1', 'NZ_JRFA01000018.1', 'NZ_JRFA01000017.1', 'NZ_JRFA01000016.1', 'NZ_JRFA01000015.1', 'NZ_JRFA01000014.1', 'NZ_JRFA01000013.1']"
SAMEA3545406,"['CZBG01000002', 'CZBG01000009']","['NZ_CZBG00000000.1', 'NZ_CZBG01000057.1', 'NZ_CZBG01000055.1', 'NZ_CZBG01000054.1', 'NZ_CZBG01000053.1', 'NZ_CZBG01000052.1', 'NZ_CZBG01000051.1', 'NZ_CZBG01000050.1', 'NZ_CZBG01000049.1', 'NZ_CZBG01000048.1', 'NZ_CZBG01000047.1', 'NZ_CZBG01000046.1', 'NZ_CZBG01000045.1', 'NZ_CZBG01000044.1', 'NZ_CZBG01000043.1', 'NZ_CZBG01000042.1', 'NZ_CZBG01000041.1', 'NZ_CZBG01000040.1', 'NZ_CZBG01000039.1', 'NZ_CZBG01000038.1']"
SAMN03653578,['LRDP01000045'],"['NZ_LRDP00000000.1', 'NZ_LRDP01000193.1', 'NZ_LRDP01000192.1', 'NZ_LRDP01000191.1', 'NZ_LRDP01000190.1', 'NZ_LRDP01000189.1', 'NZ_LRDP01000188.1', 'NZ_LRDP01000187.1', 'NZ_LRDP01000186.1', 'NZ_LRDP01000185.1', 'NZ_LRDP01000184.1', 'NZ_LRDP01000183.1', 'NZ_LRDP01000182.1', 'NZ_LRDP01000181.1', 'NZ_LRDP01000180.1', 'NZ_LRDP01000179.1', 'NZ_LRDP01000178.1', 'NZ_LRDP01000177.1', 'NZ_LRDP01000176.1', 'NZ_LRDP01000175.1']"
SAMN03852683,"['CP012938', 'CP012938']","['NZ_CP012938.1', 'CP012938.1']"
SAMN03956448,"['KQ968398', 'KQ968398', 'KQ968399']","['NZ_LTDE00000000.1', 'NZ_KQ968478.1', 'NZ_KQ968477.1', 'NZ_KQ968476.1', 'NZ_KQ968475.1', 'NZ_KQ968474.1', 'NZ_KQ968473.1', 'NZ_KQ968472.1', 'NZ_KQ968471.1', 'NZ_KQ968470.1', 'NZ_KQ968469.1', 'NZ_KQ968468.1', 'NZ_KQ968467.1', 'NZ_KQ968466.1', 'NZ_KQ968465.1', 'NZ_KQ968464.1', 'NZ_KQ968463.1', 'NZ_KQ968462.1', 'NZ_KQ968461.1', 'NZ_KQ968460.1']"
SAMN05192581,['FMYE01000081'],"['NZ_FMYE00000000.1', 'NZ_FMYE01000125.1', 'NZ_FMYE01000124.1', 'NZ_FMYE01000123.1', 'NZ_FMYE01000122.1', 'NZ_FMYE01000121.1', 'NZ_FMYE01000120.1', 'NZ_FMYE01000119.1', 'NZ_FMYE01000118.1', 'NZ_FMYE01000117.1', 'NZ_FMYE01000116.1', 'NZ_FMYE01000115.1', 'NZ_FMYE01000114.1', 'NZ_FMYE01000113.1', 'NZ_FMYE01000112.1', 'NZ_FMYE01000111.1', 'NZ_FMYE01000110.1', 'NZ_FMYE01000109.1', 'NZ_FMYE01000108.1', 'NZ_FMYE01000107.1']"
SAMN05192582,"['FNDO01000002', 'FNDO01000002']","['NZ_FNDO00000000.1', 'NZ_FNDO01000174.1', 'NZ_FNDO01000173.1', 'NZ_FNDO01000172.1', 'NZ_FNDO01000171.1', 'NZ_FNDO01000170.1', 'NZ_FNDO01000169.1', 'NZ_FNDO01000168.1', 'NZ_FNDO01000167.1', 'NZ_FNDO01000166.1', 'NZ_FNDO01000165.1', 'NZ_FNDO01000164.1', 'NZ_FNDO01000163.1', 'NZ_FNDO01000162.1', 'NZ_FNDO01000161.1', 'NZ_FNDO01000160.1', 'NZ_FNDO01000159.1', 'NZ_FNDO01000158.1', 'NZ_FNDO01000157.1', 'NZ_FNDO01000156.1']"
SAMN03854476,['KQ971207'],"['NZ_LRQF00000000.2', 'NZ_KQ971227.1', 'NZ_KQ971226.1', 'NZ_KQ971225.1', 'NZ_KQ971224.1', 'NZ_KQ971223.1', 'NZ_KQ971222.1', 'NZ_KQ971221.1', 'NZ_KQ971220.1', 'NZ_KQ971219.1', 'NZ_KQ971218.1', 'NZ_KQ971217.1', 'NZ_KQ971216.1', 'NZ_KQ971215.1', 'NZ_KQ971214.1', 'NZ_KQ971213.1', 'NZ_KQ971212.1', 'NZ_KQ971211.1', 'NZ_KQ971210.1', 'NZ_KQ971209.1']"
SAMN03854509,"['KQ965644', 'KQ965644', 'KQ965688']","['NZ_LTAG00000000.1', 'NZ_KQ965730.1', 'NZ_KQ965729.1', 'NZ_KQ965728.1', 'NZ_KQ965727.1', 'NZ_KQ965726.1', 'NZ_KQ965725.1', 'NZ_KQ965724.1', 'NZ_KQ965723.1', 'NZ_KQ965722.1', 'NZ_KQ965721.1', 'NZ_KQ965720.1', 'NZ_KQ965719.1', 'NZ_KQ965718.1', 'NZ_KQ965717.1', 'NZ_KQ965716.1', 'NZ_KQ965715.1', 'NZ_KQ965714.1', 'NZ_KQ965713.1', 'NZ_KQ965712.1']"
SAMN03854413,['KQ957340'],"['NZ_LRQG00000000.1', 'NZ_KQ957360.1', 'NZ_KQ957359.1', 'NZ_KQ957358.1', 'NZ_KQ957357.1', 'NZ_KQ957356.1', 'NZ_KQ957355.1', 'NZ_KQ957354.1', 'NZ_KQ957353.1', 'NZ_KQ957352.1', 'NZ_KQ957351.1', 'NZ_KQ957350.1', 'NZ_KQ957349.1', 'NZ_KQ957348.1', 'NZ_KQ957347.1', 'NZ_KQ957346.1', 'NZ_KQ957345.1', 'NZ_KQ957344.1', 'NZ_KQ957343.1', 'NZ_KQ957342.1']"
SAMD00034934,"['AP014926', 'AP014926', 'AP014925']","['NZ_AP014926.1', 'NZ_AP014925.1', 'AP014926.1', 'AP014925.1']"
SAMN04529095,"['CP019302', 'CP019302']","['NZ_CP019303.1', 'NZ_CP019302.1', 'CP019303.1', 'CP019302.1']"
SAMN02603157,"['CP000057', 'CP000057']","['NC_007146.2', 'CP000057.2']"
SAMN02780890,['JNBG01000152'],"['NZ_JNBG00000000.1', 'NZ_JNBG01000202.1', 'NZ_JNBG01000198.1', 'NZ_JNBG01000197.1', 'NZ_JNBG01000196.1', 'NZ_JNBG01000194.1', 'NZ_JNBG01000193.1', 'NZ_JNBG01000192.1', 'NZ_JNBG01000191.1', 'NZ_JNBG01000190.1', 'NZ_JNBG01000189.1', 'NZ_JNBG01000188.1', 'NZ_JNBG01000187.1', 'NZ_JNBG01000185.1', 'NZ_JNBG01000184.1', 'NZ_JNBG01000183.1', 'NZ_JNBG01000182.1', 'NZ_JNBG01000181.1', 'NZ_JNBG01000180.1', 'NZ_JNBG01000179.1']"
SAMN02796095,['JNCZ01000018'],"['JNCZ00000000.1', 'JNCZ01000001.1', 'JNCZ01000002.1', 'JNCZ01000003.1', 'JNCZ01000004.1', 'JNCZ01000005.1', 'JNCZ01000006.1', 'JNCZ01000007.1', 'JNCZ01000008.1', 'JNCZ01000009.1', 'JNCZ01000010.1', 'JNCZ01000011.1', 'JNCZ01000012.1', 'JNCZ01000013.1', 'JNCZ01000014.1', 'JNCZ01000015.1', 'JNCZ01000016.1', 'JNCZ01000017.1', 'JNCZ01000018.1', 'JNCZ01000019.1']"
SAMN02838910,"['JOLD01000026', 'JOLD01000026']","['NZ_JOLD00000000.1', 'NZ_JOLD01000105.1', 'NZ_JOLD01000104.1', 'NZ_JOLD01000103.1', 'NZ_JOLD01000102.1', 'NZ_JOLD01000101.1', 'NZ_JOLD01000100.1', 'NZ_JOLD01000099.1', 'NZ_JOLD01000098.1', 'NZ_JOLD01000097.1', 'NZ_JOLD01000096.1', 'NZ_JOLD01000095.1', 'NZ_JOLD01000094.1', 'NZ_JOLD01000093.1', 'NZ_JOLD01000092.1', 'NZ_JOLD01000091.1', 'NZ_JOLD01000090.1', 'NZ_JOLD01000089.1', 'NZ_JOLD01000088.1', 'NZ_JOLD01000087.1']"
SAMN02840766,"['JOLG01000033', 'JOLG01000073']","['NZ_JOLG00000000.1', 'NZ_JOLG01000130.1', 'NZ_JOLG01000129.1', 'NZ_JOLG01000128.1', 'NZ_JOLG01000127.1', 'NZ_JOLG01000126.1', 'NZ_JOLG01000125.1', 'NZ_JOLG01000124.1', 'NZ_JOLG01000123.1', 'NZ_JOLG01000122.1', 'NZ_JOLG01000121.1', 'NZ_JOLG01000120.1', 'NZ_JOLG01000119.1', 'NZ_JOLG01000118.1', 'NZ_JOLG01000117.1', 'NZ_JOLG01000116.1', 'NZ_JOLG01000115.1', 'NZ_JOLG01000114.1', 'NZ_JOLG01000113.1', 'NZ_JOLG01000112.1']"
SAMN04329593,"['NCWF01000059', 'NCWF01000059']","['NZ_NCWF00000000.1', 'NZ_NCWF01000093.1', 'NZ_NCWF01000092.1', 'NZ_NCWF01000091.1', 'NZ_NCWF01000090.1', 'NZ_NCWF01000089.1', 'NZ_NCWF01000088.1', 'NZ_NCWF01000087.1', 'NZ_NCWF01000086.1', 'NZ_NCWF01000085.1', 'NZ_NCWF01000084.1', 'NZ_NCWF01000083.1', 'NZ_NCWF01000082.1', 'NZ_NCWF01000081.1', 'NZ_NCWF01000080.1', 'NZ_NCWF01000079.1', 'NZ_NCWF01000078.1', 'NZ_NCWF01000077.1', 'NZ_NCWF01000076.1', 'NZ_NCWF01000075.1']"
SAMN06100264,['MRXG01000044'],"['NZ_MRXG00000000.1', 'NZ_MRXG01000115.1', 'NZ_MRXG01000114.1', 'NZ_MRXG01000113.1', 'NZ_MRXG01000112.1', 'NZ_MRXG01000111.1', 'NZ_MRXG01000110.1', 'NZ_MRXG01000109.1', 'NZ_MRXG01000108.1', 'NZ_MRXG01000107.1', 'NZ_MRXG01000106.1', 'NZ_MRXG01000105.1', 'NZ_MRXG01000104.1', 'NZ_MRXG01000103.1', 'NZ_MRXG01000102.1', 'NZ_MRXG01000101.1', 'NZ_MRXG01000100.1', 'NZ_MRXG01000099.1', 'NZ_MRXG01000098.1', 'NZ_MRXG01000097.1']"
SAMN06100274,"['NDXD01000006', 'NDXD01000006']","['NZ_NDXD00000000.1', 'NZ_NDXD01000153.1', 'NZ_NDXD01000152.1', 'NZ_NDXD01000151.1', 'NZ_NDXD01000150.1', 'NZ_NDXD01000149.1', 'NZ_NDXD01000148.1', 'NZ_NDXD01000147.1', 'NZ_NDXD01000146.1', 'NZ_NDXD01000145.1', 'NZ_NDXD01000144.1', 'NZ_NDXD01000143.1', 'NZ_NDXD01000142.1', 'NZ_NDXD01000141.1', 'NZ_NDXD01000140.1', 'NZ_NDXD01000139.1', 'NZ_NDXD01000138.1', 'NZ_NDXD01000137.1', 'NZ_NDXD01000136.1', 'NZ_NDXD01000135.1']"
SAMN06124507,"['MRXR01000007', 'MRXR01000007']","['NZ_MRXR00000000.1', 'NZ_MRXR01000032.1', 'NZ_MRXR01000031.1', 'NZ_MRXR01000030.1', 'NZ_MRXR01000029.1', 'NZ_MRXR01000028.1', 'NZ_MRXR01000027.1', 'NZ_MRXR01000026.1', 'NZ_MRXR01000025.1', 'NZ_MRXR01000024.1', 'NZ_MRXR01000023.1', 'NZ_MRXR01000022.1', 'NZ_MRXR01000021.1', 'NZ_MRXR01000020.1', 'NZ_MRXR01000019.1', 'NZ_MRXR01000018.1', 'NZ_MRXR01000017.1', 'NZ_MRXR01000016.1', 'NZ_MRXR01000015.1', 'NZ_MRXR01000014.1']"
SAMN06697621,['NCTU01000076'],"['NZ_NCTU00000000.1', 'NZ_NCTU01000271.1', 'NZ_NCTU01000270.1', 'NZ_NCTU01000269.1', 'NZ_NCTU01000268.1', 'NZ_NCTU01000267.1', 'NZ_NCTU01000266.1', 'NZ_NCTU01000265.1', 'NZ_NCTU01000264.1', 'NZ_NCTU01000263.1', 'NZ_NCTU01000262.1', 'NZ_NCTU01000261.1', 'NZ_NCTU01000260.1', 'NZ_NCTU01000259.1', 'NZ_NCTU01000258.1', 'NZ_NCTU01000257.1', 'NZ_NCTU01000256.1', 'NZ_NCTU01000255.1', 'NZ_NCTU01000254.1', 'NZ_NCTU01000253.1']"
SAMN06697624,"['NCTQ01000014', 'NCTQ01000014']","['NZ_NCTQ00000000.1', 'NZ_NCTQ01000040.1', 'NZ_NCTQ01000039.1', 'NZ_NCTQ01000038.1', 'NZ_NCTQ01000037.1', 'NZ_NCTQ01000036.1', 'NZ_NCTQ01000035.1', 'NZ_NCTQ01000033.1', 'NZ_NCTQ01000032.1', 'NZ_NCTQ01000031.1', 'NZ_NCTQ01000030.1', 'NZ_NCTQ01000029.1', 'NZ_NCTQ01000028.1', 'NZ_NCTQ01000027.1', 'NZ_NCTQ01000026.1', 'NZ_NCTQ01000025.1', 'NZ_NCTQ01000024.1', 'NZ_NCTQ01000023.1', 'NZ_NCTQ01000022.1', 'NZ_NCTQ01000021.1']"
SAMN06712279,['NCWE01000045'],"['NZ_NCWE00000000.1', 'NZ_NCWE01000114.1', 'NZ_NCWE01000113.1', 'NZ_NCWE01000112.1', 'NZ_NCWE01000111.1', 'NZ_NCWE01000110.1', 'NZ_NCWE01000109.1', 'NZ_NCWE01000108.1', 'NZ_NCWE01000107.1', 'NZ_NCWE01000106.1', 'NZ_NCWE01000105.1', 'NZ_NCWE01000104.1', 'NZ_NCWE01000103.1', 'NZ_NCWE01000102.1', 'NZ_NCWE01000101.1', 'NZ_NCWE01000100.1', 'NZ_NCWE01000099.1', 'NZ_NCWE01000098.1', 'NZ_NCWE01000097.1', 'NZ_NCWE01000096.1']"
SAMN06712285,"['NCWM01000004', 'NCWM01000004', 'NCWM01000004']","['NZ_NCWM00000000.1', 'NZ_NCWM01000006.1', 'NZ_NCWM01000005.1', 'NZ_NCWM01000004.1', 'NZ_NCWM01000003.1', 'NZ_NCWM01000002.1', 'NZ_NCWM01000001.1', 'NCWM00000000.1', 'NCWM01000001.1', 'NCWM01000002.1', 'NCWM01000003.1', 'NCWM01000004.1', 'NCWM01000005.1', 'NCWM01000006.1']"
SAMN02367999,['MXFH01000036'],"['NZ_MXFH00000000.1', 'NZ_MXFH01000066.1', 'NZ_MXFH01000065.1', 'NZ_MXFH01000064.1', 'NZ_MXFH01000063.1', 'NZ_MXFH01000062.1', 'NZ_MXFH01000061.1', 'NZ_MXFH01000060.1', 'NZ_MXFH01000059.1', 'NZ_MXFH01000058.1', 'NZ_MXFH01000057.1', 'NZ_MXFH01000056.1', 'NZ_MXFH01000055.1', 'NZ_MXFH01000054.1', 'NZ_MXFH01000053.1', 'NZ_MXFH01000052.1', 'NZ_MXFH01000051.1', 'NZ_MXFH01000050.1', 'NZ_MXFH01000049.1', 'NZ_MXFH01000048.1']"
SAMN02368004,['MXFD01000043'],"['NZ_MXFD00000000.1', 'NZ_MXFD01000061.1', 'NZ_MXFD01000060.1', 'NZ_MXFD01000059.1', 'NZ_MXFD01000058.1', 'NZ_MXFD01000057.1', 'NZ_MXFD01000056.1', 'NZ_MXFD01000055.1', 'NZ_MXFD01000054.1', 'NZ_MXFD01000053.1', 'NZ_MXFD01000052.1', 'NZ_MXFD01000051.1', 'NZ_MXFD01000050.1', 'NZ_MXFD01000049.1', 'NZ_MXFD01000048.1', 'NZ_MXFD01000047.1', 'NZ_MXFD01000046.1', 'NZ_MXFD01000045.1', 'NZ_MXFD01000044.1', 'NZ_MXFD01000043.1']"
SAMN02368042,"['MXEF01000005', 'MXEF01000005']","['NZ_MXEF00000000.1', 'NZ_MXEF01000118.1', 'NZ_MXEF01000117.1', 'NZ_MXEF01000116.1', 'NZ_MXEF01000115.1', 'NZ_MXEF01000114.1', 'NZ_MXEF01000113.1', 'NZ_MXEF01000112.1', 'NZ_MXEF01000111.1', 'NZ_MXEF01000110.1', 'NZ_MXEF01000109.1', 'NZ_MXEF01000108.1', 'NZ_MXEF01000107.1', 'NZ_MXEF01000106.1', 'NZ_MXEF01000105.1', 'NZ_MXEF01000104.1', 'NZ_MXEF01000103.1', 'NZ_MXEF01000102.1', 'NZ_MXEF01000101.1', 'NZ_MXEF01000100.1']"
SAMN04110125,"['LKIX01000012', 'LKIX01000033', 'LKIX01000012', 'LKIX01000033']","['NZ_LKIX00000000.1', 'NZ_LKIX01000097.1', 'NZ_LKIX01000096.1', 'NZ_LKIX01000095.1', 'NZ_LKIX01000094.1', 'NZ_LKIX01000093.1', 'NZ_LKIX01000092.1', 'NZ_LKIX01000091.1', 'NZ_LKIX01000090.1', 'NZ_LKIX01000089.1', 'NZ_LKIX01000088.1', 'NZ_LKIX01000087.1', 'NZ_LKIX01000086.1', 'NZ_LKIX01000085.1', 'NZ_LKIX01000084.1', 'NZ_LKIX01000083.1', 'NZ_LKIX01000082.1', 'NZ_LKIX01000081.1', 'NZ_LKIX01000080.1', 'NZ_LKIX01000079.1']"
SAMN04110126,"['LKIY01000035', 'LKIY01000035']","['NZ_LKIY00000000.1', 'NZ_LKIY01000062.1', 'NZ_LKIY01000061.1', 'NZ_LKIY01000060.1', 'NZ_LKIY01000059.1', 'NZ_LKIY01000058.1', 'NZ_LKIY01000057.1', 'NZ_LKIY01000056.1', 'NZ_LKIY01000055.1', 'NZ_LKIY01000054.1', 'NZ_LKIY01000053.1', 'NZ_LKIY01000051.1', 'NZ_LKIY01000050.1', 'NZ_LKIY01000049.1', 'NZ_LKIY01000048.1', 'NZ_LKIY01000047.1', 'NZ_LKIY01000046.1', 'NZ_LKIY01000045.1', 'NZ_LKIY01000044.1', 'NZ_LKIY01000043.1']"
SAMN03840759,['LGTE01000066'],"['NZ_LGTE00000000.1', 'NZ_LGTE01000078.1', 'NZ_LGTE01000077.1', 'NZ_LGTE01000076.1', 'NZ_LGTE01000075.1', 'NZ_LGTE01000074.1', 'NZ_LGTE01000073.1', 'NZ_LGTE01000072.1', 'NZ_LGTE01000071.1', 'NZ_LGTE01000070.1', 'NZ_LGTE01000069.1', 'NZ_LGTE01000068.1', 'NZ_LGTE01000067.1', 'NZ_LGTE01000066.1', 'NZ_LGTE01000065.1', 'NZ_LGTE01000064.1', 'NZ_LGTE01000063.1', 'NZ_LGTE01000062.1', 'NZ_LGTE01000061.1', 'NZ_LGTE01000060.1']"
SAMN02368628,"['MYAN01000003', 'MYAN01000003']","['NZ_MYAN00000000.1', 'NZ_MYAN01000219.1', 'NZ_MYAN01000218.1', 'NZ_MYAN01000217.1', 'NZ_MYAN01000216.1', 'NZ_MYAN01000215.1', 'NZ_MYAN01000214.1', 'NZ_MYAN01000213.1', 'NZ_MYAN01000212.1', 'NZ_MYAN01000211.1', 'NZ_MYAN01000210.1', 'NZ_MYAN01000209.1', 'NZ_MYAN01000208.1', 'NZ_MYAN01000207.1', 'NZ_MYAN01000206.1', 'NZ_MYAN01000205.1', 'NZ_MYAN01000204.1', 'NZ_MYAN01000203.1', 'NZ_MYAN01000202.1', 'NZ_MYAN01000201.1']"
SAMN04155460,['MEKE01000030'],['Supplied+id+parameter+is+empty.']
SAMN04155462,['MEKF01000032'],"['NZ_MEKF00000000.1', 'NZ_MEKF01000093.1', 'NZ_MEKF01000092.1', 'NZ_MEKF01000091.1', 'NZ_MEKF01000090.1', 'NZ_MEKF01000089.1', 'NZ_MEKF01000088.1', 'NZ_MEKF01000087.1', 'NZ_MEKF01000086.1', 'NZ_MEKF01000085.1', 'NZ_MEKF01000084.1', 'NZ_MEKF01000083.1', 'NZ_MEKF01000082.1', 'NZ_MEKF01000081.1', 'NZ_MEKF01000080.1', 'NZ_MEKF01000079.1', 'NZ_MEKF01000078.1', 'NZ_MEKF01000077.1', 'NZ_MEKF01000076.1', 'NZ_MEKF01000075.1']"
SAMN02368029,['MXEL01000045'],"['NZ_MXEL00000000.1', 'NZ_MXEL01000072.1', 'NZ_MXEL01000071.1', 'NZ_MXEL01000070.1', 'NZ_MXEL01000069.1', 'NZ_MXEL01000068.1', 'NZ_MXEL01000067.1', 'NZ_MXEL01000066.1', 'NZ_MXEL01000065.1', 'NZ_MXEL01000064.1', 'NZ_MXEL01000063.1', 'NZ_MXEL01000061.1', 'NZ_MXEL01000060.1', 'NZ_MXEL01000059.1', 'NZ_MXEL01000058.1', 'NZ_MXEL01000057.1', 'NZ_MXEL01000056.1', 'NZ_MXEL01000055.1', 'NZ_MXEL01000054.1', 'NZ_MXEL01000053.1']"
SAMN02368758,"['MXVX01000006', 'MXVX01000006']","['NZ_MXVX00000000.1', 'NZ_MXVX01000268.1', 'NZ_MXVX01000267.1', 'NZ_MXVX01000266.1', 'NZ_MXVX01000265.1', 'NZ_MXVX01000264.1', 'NZ_MXVX01000263.1', 'NZ_MXVX01000262.1', 'NZ_MXVX01000261.1', 'NZ_MXVX01000260.1', 'NZ_MXVX01000259.1', 'NZ_MXVX01000258.1', 'NZ_MXVX01000257.1', 'NZ_MXVX01000256.1', 'NZ_MXVX01000255.1', 'NZ_MXVX01000253.1', 'NZ_MXVX01000251.1', 'NZ_MXVX01000250.1', 'NZ_MXVX01000249.1', 'NZ_MXVX01000248.1']"
SAMN02699336,['JYZG01000047'],"['NZ_JYZG00000000.1', 'NZ_JYZG01000102.1', 'NZ_JYZG01000101.1', 'NZ_JYZG01000100.1', 'NZ_JYZG01000098.1', 'NZ_JYZG01000097.1', 'NZ_JYZG01000095.1', 'NZ_JYZG01000094.1', 'NZ_JYZG01000093.1', 'NZ_JYZG01000092.1', 'NZ_JYZG01000091.1', 'NZ_JYZG01000090.1', 'NZ_JYZG01000089.1', 'NZ_JYZG01000088.1', 'NZ_JYZG01000087.1', 'NZ_JYZG01000086.1', 'NZ_JYZG01000085.1', 'NZ_JYZG01000084.1', 'NZ_JYZG01000083.1', 'NZ_JYZG01000082.1']"
SAMN03339656,['JZTP01000054'],"['NZ_JZTP00000000.1', 'NZ_JZTP01000073.1', 'NZ_JZTP01000072.1', 'NZ_JZTP01000071.1', 'NZ_JZTP01000070.1', 'NZ_JZTP01000069.1', 'NZ_JZTP01000068.1', 'NZ_JZTP01000067.1', 'NZ_JZTP01000066.1', 'NZ_JZTP01000065.1', 'NZ_JZTP01000064.1', 'NZ_JZTP01000063.1', 'NZ_JZTP01000062.1', 'NZ_JZTP01000061.1', 'NZ_JZTP01000060.1', 'NZ_JZTP01000059.1', 'NZ_JZTP01000058.1', 'NZ_JZTP01000057.1', 'NZ_JZTP01000056.1', 'NZ_JZTP01000055.1']"
SAMN03894365,['LHNK01000040'],"['NZ_LHNK00000000.1', 'NZ_LHNK01000048.1', 'NZ_LHNK01000047.1', 'NZ_LHNK01000046.1', 'NZ_LHNK01000045.1', 'NZ_LHNK01000044.1', 'NZ_LHNK01000041.1', 'NZ_LHNK01000040.1', 'NZ_LHNK01000039.1', 'NZ_LHNK01000038.1', 'NZ_LHNK01000037.1', 'NZ_LHNK01000036.1', 'NZ_LHNK01000035.1', 'NZ_LHNK01000034.1', 'NZ_LHNK01000033.1', 'NZ_LHNK01000032.1', 'NZ_LHNK01000031.1', 'NZ_LHNK01000030.1', 'NZ_LHNK01000029.1', 'NZ_LHNK01000028.1']"
SAMEA103936875,"['FWWG01000061', 'FWWG01000061']","['NZ_FWWG00000000.1', 'NZ_FWWG01000080.1', 'NZ_FWWG01000079.1', 'NZ_FWWG01000078.1', 'NZ_FWWG01000077.1', 'NZ_FWWG01000076.1', 'NZ_FWWG01000075.1', 'NZ_FWWG01000074.1', 'NZ_FWWG01000073.1', 'NZ_FWWG01000072.1', 'NZ_FWWG01000071.1', 'NZ_FWWG01000070.1', 'NZ_FWWG01000069.1', 'NZ_FWWG01000068.1', 'NZ_FWWG01000067.1', 'NZ_FWWG01000066.1', 'NZ_FWWG01000065.1', 'NZ_FWWG01000064.1', 'NZ_FWWG01000063.1', 'NZ_FWWG01000062.1']"
SAMEA859878,['CGCG01000001'],"['NZ_CGCG00000000.1', 'NZ_CGCG01000046.1', 'NZ_CGCG01000045.1', 'NZ_CGCG01000044.1', 'NZ_CGCG01000043.1', 'NZ_CGCG01000042.1', 'NZ_CGCG01000041.1', 'NZ_CGCG01000040.1', 'NZ_CGCG01000039.1', 'NZ_CGCG01000038.1', 'NZ_CGCG01000037.1', 'NZ_CGCG01000036.1', 'NZ_CGCG01000035.1', 'NZ_CGCG01000034.1', 'NZ_CGCG01000033.1', 'NZ_CGCG01000032.1', 'NZ_CGCG01000031.1', 'NZ_CGCG01000030.1', 'NZ_CGCG01000029.1', 'NZ_CGCG01000028.1']"
SAMEA859900,['CQAQ01000001'],"['CQAQ00000000.1', 'CQAQ01000001.1', 'CQAQ01000002.1', 'CQAQ01000003.1', 'CQAQ01000004.1', 'CQAQ01000005.1', 'CQAQ01000006.1', 'CQAQ01000007.1', 'CQAQ01000008.1', 'CQAQ01000009.1', 'CQAQ01000010.1', 'CQAQ01000011.1', 'CQAQ01000012.1', 'CQAQ01000013.1', 'CQAQ01000014.1', 'CQAQ01000015.1', 'CQAQ01000016.1', 'CQAQ01000017.1', 'CQAQ01000018.1', 'CQAQ01000019.1']"
SAMEA859905,['CPXZ01000024'],"['NZ_CPXZ00000000.1', 'NZ_CPXZ01000054.1', 'NZ_CPXZ01000053.1', 'NZ_CPXZ01000052.1', 'NZ_CPXZ01000051.1', 'NZ_CPXZ01000050.1', 'NZ_CPXZ01000049.1', 'NZ_CPXZ01000048.1', 'NZ_CPXZ01000047.1', 'NZ_CPXZ01000046.1', 'NZ_CPXZ01000045.1', 'NZ_CPXZ01000044.1', 'NZ_CPXZ01000043.1', 'NZ_CPXZ01000042.1', 'NZ_CPXZ01000041.1', 'NZ_CPXZ01000040.1', 'NZ_CPXZ01000039.1', 'NZ_CPXZ01000038.1', 'NZ_CPXZ01000037.1', 'NZ_CPXZ01000035.1']"
SAMEA3180123,"['CDOD01000002', 'CDOD01000005', 'CDOD01000002']","['NZ_CDOD00000000.1', 'NZ_CDOD01000067.1', 'NZ_CDOD01000066.1', 'NZ_CDOD01000065.1', 'NZ_CDOD01000063.1', 'NZ_CDOD01000061.1', 'NZ_CDOD01000057.1', 'NZ_CDOD01000056.1', 'NZ_CDOD01000055.1', 'NZ_CDOD01000050.1', 'NZ_CDOD01000048.1', 'NZ_CDOD01000047.1', 'NZ_CDOD01000046.1', 'NZ_CDOD01000045.1', 'NZ_CDOD01000044.1', 'NZ_CDOD01000042.1', 'NZ_CDOD01000041.1', 'NZ_CDOD01000040.1', 'NZ_CDOD01000039.1', 'NZ_CDOD01000038.1']"
SAMN05443574,['FNOF01000021'],"['NZ_FNOF00000000.1', 'NZ_FNOF01000055.1', 'NZ_FNOF01000054.1', 'NZ_FNOF01000053.1', 'NZ_FNOF01000052.1', 'NZ_FNOF01000051.1', 'NZ_FNOF01000050.1', 'NZ_FNOF01000049.1', 'NZ_FNOF01000048.1', 'NZ_FNOF01000047.1', 'NZ_FNOF01000046.1', 'NZ_FNOF01000045.1', 'NZ_FNOF01000044.1', 'NZ_FNOF01000043.1', 'NZ_FNOF01000042.1', 'NZ_FNOF01000041.1', 'NZ_FNOF01000040.1', 'NZ_FNOF01000039.1', 'NZ_FNOF01000038.1', 'NZ_FNOF01000037.1']"
